title,author,isbn,avg_rating,user_rating,date_read,shelf,url,cover_url,genres,description
The da Vinci Code,"Brown, Dan",,3.93,5,not set,read,https://www.goodreads.com/book/show/968.The_da_Vinci_Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229l/968._SY75_.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']",
The Alchemist,"Coelho, Paulo",0062315005,3.92,5,not set,read,https://www.goodreads.com/book/show/18144590-the-alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463l/18144590._SY75_.jpg,"['Fiction', 'Fantasy', 'Philosophy', 'Self Help', 'Book Club', 'Novels', 'Spirituality']",
Insurgent,"Roth, Veronica",0007442912,3.97,2,not set,read,https://www.goodreads.com/book/show/11735983-insurgent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340l/11735983._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']",
Harry Potter and the Goblet of Fire,"Rowling, J.K.",0439139597,4.57,4,not set,read,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6._SX50_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Audiobook', 'Childrens', 'Middle Grade']",
Harry Potter and the Chamber of Secrets,"Rowling, J.K.",,4.43,5,not set,read,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",
Divergent,"Roth, Veronica",0062024035,4.14,2,not set,read,https://www.goodreads.com/book/show/13335037-divergent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Teen']",
Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",043965548X,4.58,5,not set,read,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",
1984,"Orwell, George",0452284236,4.2,4,not set,read,https://www.goodreads.com/book/show/61439040-1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657781256l/61439040._SX50_.jpg,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']",
The Fault in Our Stars,"Green, John",,4.13,4,not set,read,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739l/11870085._SX50_.jpg,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Book Club', 'Coming Of Age']",
Pride and Prejudice,"Austen, Jane",1441341706,4.29,4,not set,read,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,"['Classics', 'Romance', 'Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Audiobook']",
